Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
0.0,-0.007817029999999975,-0.00021956000000000753,1.36026646,-0.017063186,0.021701505,1.4519233,-0.98023134,-0.030188078,-0.19553834,-0.11572994,0.88907355,0.44289365,0.16047786,0.4567679,-0.8749914,-0.9763903,-0.01954108,0.21512824,-0.01954108,0.8747131,-0.46931612,0.21512824,-0.484247,-0.8564241,-0.92204,-0.21765,0.32012,-0.02219,0.85532,0.51762,-0.38646,0.47016,-0.79347,-0.01690277,0.02135178,1.4512521
0.016795504983747378,-0.007438170000000022,-0.00012230000000001962,1.3410445500000001,-0.016745046,0.021196987,1.4393426,-0.96676785,0.029493796,0.25394887,-0.07568979,0.9157713,-0.39450476,-0.24419452,-0.40061584,-0.8831059,-0.9720397,0.020774677,-0.23389587,0.020774677,0.9269843,0.36871594,-0.23389587,0.3745243,-0.89963394,-0.92582,-0.21379,0.3117,-0.0197,0.85084,0.52505,-0.37746,0.47996,-0.79194,-0.01692156,0.021476451,1.438248
0.033613742009038106,0.004240919999999981,-0.0032746300000000006,1.29322508,-0.0172875,0.021840313,1.4215823,-0.9829462,0.04128744,-0.1791986,-0.04394549,0.89349717,0.44691345,0.17856535,0.44716686,-0.87644523,-0.97834975,0.05243416,0.20020586,0.05243416,0.8794699,-0.47334945,0.20020586,-0.4730575,-0.8578216,-0.99503,-0.0143,0.0985,0.03725,0.86421,0.50176,-0.0923,0.50294,-0.85938,-0.01714277,0.021489367,1.4215823
0.050387942988891155,0.0047786199999999834,-0.0022333999999999965,1.25088388,-0.016308574,0.021890266,1.3873849,-0.9822308,0.018663593,-0.18674672,-0.0666837,0.8954085,0.44022363,0.17543076,0.44485417,-0.8782533,-0.9776946,0.029837204,0.20790157,0.029837204,0.8807258,-0.46802223,0.20790157,-0.4726857,-0.85891336,-0.996,-0.02425,0.08599,0.02384,0.85542,0.51738,-0.08611,0.51736,-0.85142,-0.016140686,0.02151743,1.3862859
0.06718919600825757,0.0054653600000000024,-0.001784830000000015,1.22921681,-0.016393848,0.022572877,1.3955331,-0.98754907,0.018465785,-0.15622364,-0.04337715,0.9226221,0.38325828,0.15121254,0.3852629,-0.9103336,-0.9837539,0.027837817,0.17735073,0.027837817,0.90946406,-0.41292003,0.17735073,-0.41484964,-0.89333296,-0.99684,-0.03151,0.07287,0.01154,0.85063,0.52563,-0.07855,0.52482,-0.84758,-0.016250756,0.022239847,1.3948264
0.08400280299247243,0.007174550000000002,-0.000730950000000008,1.18561881,-0.016775716,0.020500395,1.3344026,-0.9882608,0.017234832,-0.15180093,-0.04155253,0.9258367,0.37563255,0.14701684,0.37753066,-0.914252,-0.9842827,0.027052203,0.1745158,0.027052203,0.91359776,-0.40395024,0.1745158,-0.4057183,-0.8979802,-0.99819,-0.03195,0.05089,0.00075,0.84026,0.54218,-0.06008,0.54124,-0.83872,-0.016628852,0.02015936,1.3337419
0.1007497439859435,0.005962520000000027,0.0004893599999999942,1.1439883100000001,-0.015820641,0.019999731,1.3001533,-0.9845036,0.037525993,-0.17130217,-0.040078793,0.90283394,0.4281175,0.17072295,0.4283488,-0.8873393,-0.98009527,0.04822151,0.19258234,0.04822151,0.8893744,-0.45489717,0.19258234,-0.45462936,-0.8694715,-0.9934,-0.08146,0.08077,-0.02051,0.81889,0.57358,-0.11287,0.56814,-0.81516,-0.015666896,0.019626753,1.3001533
0.11753857499570586,0.005082339999999991,0.0011838600000000088,1.12350301,-0.015338947,0.019468693,1.2637755,-0.99722356,-0.005786335,-0.07424047,-0.040534727,0.87850785,0.47600517,0.062466506,0.4776929,-0.87630326,-0.9954333,0.00610792,0.0952644,0.00610792,0.8635398,-0.5024621,0.0952644,-0.5042436,-0.85933495,-0.98824,-0.11621,0.09937,-0.03556,0.80675,0.58982,-0.14871,0.57935,-0.8014,-0.015266111,0.019048644,1.2637755
0.13434142799815163,0.004899530000000013,0.0016199899999999878,1.08305902,-0.013733232,0.017710974,1.2134032,-0.9973142,-0.0052975705,-0.07305018,-0.038938638,0.8831002,0.46756586,0.062033664,0.46915457,-0.88093466,-0.99567217,0.0055828993,0.09276724,0.0055828993,0.8692028,-0.49274996,0.09276724,-0.4944242,-0.86521196,-0.98062,-0.1671,0.10233,-0.06699,0.77671,0.62628,-0.18413,0.60728,-0.77285,-0.013658584,0.017279016,1.2134032
0.15123498399043456,0.008385520000000007,0.0009040399999999948,1.04174965,-0.012253799,0.017078195,1.1677577,-0.99801683,-0.005499344,-0.06270671,-0.03760686,0.8509432,0.5239097,0.05047869,0.5252289,-0.84946245,-0.99675274,0.005753989,0.08031757,0.005753989,0.83544207,-0.54816806,0.08031757,-0.5495484,-0.8325027,-0.98673,-0.15174,0.0578,-0.08176,0.77182,0.63056,-0.14029,0.61747,-0.77398,-0.012189343,0.016595535,1.1677577
0.16792091200477444,0.010322180000000014,0.0003205900000000095,1.0219061200000001,-0.010879813,0.016484005,1.12511,-0.9984335,-0.0055113467,-0.055679806,-0.036321033,0.8208053,0.57005215,0.042560525,0.5711815,-0.8197197,-0.99743664,0.00573744,0.07132507,0.00573744,0.80399144,-0.5934375,0.07132507,-0.5946132,-0.8017136,-0.9893,-0.14147,0.03579,-0.08717,0.76962,0.63253,-0.11703,0.62264,-0.77371,-0.010822537,0.015959905,1.12511
0.18471651198342443,0.01456432000000002,-0.0011396700000000093,0.98365462,-0.009599729,0.016384399,1.0864077,-0.99971545,-0.0048622047,-0.02335267,-0.017596649,0.8112837,0.5843878,0.016104227,0.58463246,-0.81113845,-0.9993138,0.0050602513,0.036693264,0.0050602513,0.7935758,-0.60819566,0.036693264,-0.6084503,-0.7929386,-0.99335,-0.11499,0.00541,-0.08565,0.7697,0.63264,-0.07691,0.62797,-0.77443,-0.009572136,0.015834415,1.0864278
